CourseName,Instructor,Term,CourseId,CourseKind,Credit,Major,SimplifiedMajor
软件工程,"张天,李宣东,王林章,王豫",2025-2026-1,22010310,,3.0,"2023匡亚明学院理科强化班,2023计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）","信计,匡计,计拔,计科"
软件工程综合实验,"张天,曹春,王林章,王豫",2023-2024-2,22011420T,,5.0,2021计算机学院计算机科学与技术,计科
软件工程综合实验,"张天,王林章,王豫",2024-2025-2,22011420T,,5.0,2022计算机学院计算机科学与技术,计科
软件测试,"吴化尧,聂长海",2025-2026-1,22010800,,2.0,2023计算机学院计算机科学与技术,计科
软件质量保障,"吴化尧,聂长海",2025-2026-1,22011110,,3.0,"2023计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术","信计,计科"
问题求解（一）,"吕建,陶先平,马骏",2025-2026-1,22020010A,,4.0,"2025计算机学院计算机科学与技术（拔尖计划）,2025匡亚明学院理科强化班","匡计,计拔"
问题求解（一）,"陶先平,马骏",2025-2026-1,22020010A,,4.0,"2025计算机学院计算机科学与技术（拔尖计划）,2025匡亚明学院理科强化班","匡计,计拔"
问题求解（三）,"程龚,钱柱中",2025-2026-1,22020010C,,6.0,"2024匡亚明学院英才计划（计算机班）,2024匡亚明学院理科强化班","匡计,计拔"
问题求解（二）,"程龚,钱柱中",2024-2025-2,22020010B,,4.0,"2024匡亚明学院英才计划（计算机班）,2024匡亚明学院理科强化班","匡计,计拔"
问题求解（四）,"吕建,陶先平,马骏",2024-2025-2,22020010D,,6.0,"2023匡亚明学院英才计划（计算机班）,2023匡亚明学院理科强化班","匡计,计拔"
问题求解（四）,"陶先平,马骏",2024-2025-2,22020010D,,6.0,"2023匡亚明学院英才计划（计算机班）,2023匡亚明学院理科强化班","匡计,计拔"
面向对象设计方法,霍静,2024-2025-2,22010750,,2.0,"2022计算机学院计算机科学与技术,2021计算机学院计算机科学与技术（拔尖计划）,2021计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
面向计算思维的问题求解,"张胜,陆桑璐",2024-2025-2,22011780,,2.0,2022计算机学院计算机科学与技术,计科
高等代数（一）,申富饶,2024-2025-1,30000020A,,4.0,"2024计算机学院信息与计算科学（强基计划）,2024人工智能学院人工智能",信计
高等代数（二）,刘达欣,2024-2025-2,30000020B,,4.0,"2024计算机学院信息与计算科学（强基计划）,2024人工智能学院人工智能",信计
高等代数（二）,"徐百乐,申富饶",2023-2024-2,30000020B,,4.0,"2023人工智能学院人工智能,2023计算机学院信息与计算科学（强基计划）",信计
高级Java程序设计,曹春,2025-2026-1,22010300,,2.0,2023计算机学院计算机科学与技术,计科
高级程序设计,"左志强,徐经纬,杨已彪",2024-2025-2,22010100,,3.0,2024计算机学院计算机科学与技术,计科
高级程序设计,"左志强,王豫",2024-2025-1,22010100,,3.0,"2022计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）","信计,计拔,计科"
高级程序设计,徐经纬,2025-2026-1,22010100,,3.0,"2024计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）,2023计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
高级程序设计,"王豫,陈家骏",2023-2024-2,22010100,,3.0,2023计算机学院计算机科学与技术,计科
高级算法,"刘景铖,尹一通,栗师",2025-2026-1,22010550,,3.0,"2022计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）","信计,计拔,计科"
